category,level,result
Algebraic_geometers,4,0
Software_companies_by_year_of_establishment,4,0
Computer_memory_companies,4,0
21st-century_software,4,0
Indian_mathematicians,4,0
Information_technology_in_the_United_Kingdom,4,0
WxWidgets,4,0
Borland_software,4,0
History_of_Microsoft,4,0
Free_econometrics_software,4,0
Representation_theory_of_Lie_algebras,4,1
Indonesian_mathematicians,4,0
Floppy_disk-based_operating_systems,4,1
Computer-related_introductions_in_1965,4,0
Markup_language_stubs,4,1
Theses,4,0
Tiling_puzzles,4,1
Gases,4,0
Windows_Mobile_software,4,0
Geographical_databases,4,0
Malware_by_type,4,1
Catechisms_of_the_Catholic_Church,4,0
Institute_of_Electrical_and_Electronics_Engineers,4,0
Abel_Prize_laureates,4,0
Optimization_of_ordered_sets,4,1
Republic_of_the_Congo_mathematicians,4,0
Language_modeling,4,1
Systems_Modeling_Language,4,1
Human_computers,4,1
Catholic_Church_document_stubs,4,0
Palestinian_mathematicians,4,0
Data_mapping,4,1
Arithmetic_functions,4,1
Systems_of_units,4,1
Azerbaijani_computer_scientists,4,0
Time_series,4,1
Statistical_forecasting,4,1
Ladders,4,0
Domain_theory,4,1
Self-hosting_software,4,1
Archivist_associations,4,0
Matrices,4,1
Renormalization_group,4,1
Computer_security_organizations,4,0
Window-based_operating_systems,4,1
Programming_languages,4,1
Official_document_archives,4,0
Equations,4,1
Museum_districts,4,0
Timing_in_electronic_circuits,4,1
Documents_by_century,4,0
Wavelets,4,1
Object-oriented_database_management_systems,4,1
Statistics_of_education,4,0
Ecoregions_by_landform,4,0
HP_software,4,0
Software_distribution_platforms,4,0
Yandex,4,0
Finnish_mathematicians,4,0
Oaths,4,0
Canadian_statisticians,4,0
Windows_Phone_software,4,0
Microsoft_Windows,4,0
New_Zealand_computer_programmers,4,0
Internet_forums,4,0
Screenshots_of_Netscape_software,4,0
Multilingual_Linux_distributions,4,1
Institutional_repository_software,4,0
Social_cataloging_applications,4,0
Change_detection_and_notification,4,1
Sun_Microsystems_software,4,0
Finite_differences,4,1
Free_software_projects,4,0
Computer-related_introductions_in_1977,4,0
Online_service_providers,4,1
Venezuelan_mathematicians,4,0
Nahuatl_literature,4,0
Android_Auto_software,4,0
Game_theorists,4,0
Speech_synthesis_software,4,1
Trees_(topology),4,1
Belgian_computer_scientists,4,0
Video_games_by_year,4,0
Statistical_field_theories,4,1
Finnish_computer_scientists,4,0
Information_technology_in_Brazil,4,0
Slovak_computer_scientists,4,0
Wellfoundedness,4,1
Theorems_in_graph_theory,4,1
Directory_services,4,1
Stellar_astronomy_classification_systems,4,0
Lattice_models,4,1
Real_analysis,4,1
Artificial_immune_systems,4,1
Input/output,4,1
Apple_II_clones,4,0
Real-time_web,4,1
Presidents_of_the_American_Statistical_Association,4,0
Telecommuting,4,1
Formal_methods_people,4,0
Political_manifestos,4,0
Early_computers,4,0
Lines_of_latitude,4,0
Information_technology_in_Ukraine,4,0
Troff,4,0
Book_stubs,4,0
Pythagoreanism,4,0
Non-English-based_programming_languages,4,1
Computing_by_natural_language,4,1
Giordano_Bruno,4,0
Concurrent_computing,4,1
Statistical_hypothesis_testing,4,1
Semiconductor_packages,4,0
Programming_language_syntax,4,1
Video_compression_and_decompression_ASIC,4,1
Archimedes,4,0
Distributed_operating_systems,4,1
Sensor_network,4,1
Astronomical_dynamical_systems,4,0
Mathematics_educators,4,0
9th-century_mathematicians,4,0
Computer-related_introductions_in_1938,4,0
Geodesists,4,0
Basque_mathematicians,4,0
Ableton_Live,4,0
Software_clones,4,0
Machine_learning,4,1
Computer-related_introductions_in_1954,4,0
Persistence,4,1
Software_review,4,0
Home_automation,4,1
Scottish_statisticians,4,0
Set_theory_stubs,4,1
Sony_hardware,4,0
Czech_computer_scientists,4,0
Google_Chrome_extensions,4,0
Robotics_software,4,0
Artificial_intelligence_applications,4,1
18th-century_mathematicians_by_nationality,4,0
Computer_surveillance,4,1
Writs,4,0
Theorems_in_differential_geometry,4,1
Formal_methods_organizations,4,0
