category,level
Computer_science,1
Mathematics,1
Information_science,1
Computer_engineering,1
Statistics,1
Information_ethics,2
Statistics-related_lists,2
Philosophy_of_statistics,2
Mathematical_examples,2
Thesauri,2
Library_science,2
Mathematical_theorems,2
Fields_of_mathematics,2
Computer_hardware,2
Mathematical_projects,2
Information_storage,2
Data_mining,2
Computer_engineering_stubs,2
Statistics_stubs,2
Computational_fields_of_study,2
Mathematical_notation,2
Mathematical_terminology,2
Mathematical_modeling,2
Computer_architecture,2
History_of_computer_science,2
Statistical_theory,2
Computer_science_stubs,2
Philosophy_of_computer_science,2
Women_in_mathematics,2
Bibliometrics,2
Mathematics_and_art,2
Human-machine_interaction,2
Statistical_methods,2
Museum_informatics,2
Applied_statistics,2
Information_retrieval,2
Software_engineering,2
Ambient_intelligence,2
Computational_geometry,2
Unsolved_problems_in_computer_science,2
Mathematical_tools,2
Computational_statistics,2
Mathematical_concepts,2
Information_science_by_discipline,2
Mathematical_proofs,2
Knowledge_representation,2
Information_systems,2
Areas_of_computer_science,2
History_of_mathematics,2
Accessible_information,2
Mathematics-related_lists,2
Electronic_engineering,2
Knowledge_engineering,2
Mathematics_and_culture,2
Human-computer_interaction,2
Statistical_data,2
Software,2
Set_indices_on_mathematics,2
Bibliographic_databases_and_indexes,2
Pseudomathematics,2
Controlled_vocabularies,2
Infographics,2
Mathematics_stubs,2
Statistical_software,2
Computer_systems,2
Information_architecture,2
Logic_and_statistics,3
Statistical_genetics,3
Complex_systems_theory,3
Information_retrieval_genres,3
Computer_programming,3
Speech_recognition,3
Knowledge_representation_software,3
Belief_revision,3
Geometric_algorithms,3
Mathematical_logic_stubs,3
Mathematical_analysis,3
Archival_science,3
Geographic_information_systems,3
Capability_systems,3
Computer-mediated_communication,3
Data_mining_algorithms,3
Consistency_models,3
Computer_hardware_standards,3
Mathematics_timelines,3
History_of_probability_and_statistics,3
Theoretical_computer_science_stubs,3
Hilbert's_problems,3
Unified_Modeling_Language,3
Statistical_theorems,3
Visualization_(graphic),3
Computer_benchmarks,3
Power_electronics,3
Voice_technology,3
Software_testing,3
Computer_peripherals,3
Multi-agent_systems,3
Graphics_hardware,3
Mathematical_logic,3
Electronic_design,3
Video_storage,3
Mathematics_of_infinitesimals,3
Non-uniform_random_numbers,3
Free_statistical_software,3
Software_industry,3
Public_transport_information_systems,3
Software_by_programming_language,3
History_of_computing_hardware,3
Statistical_natural_language_processing,3
Theorems_in_analysis,3
Automata_(computation),3
Elementary_mathematics,3
Motherboard,3
Knowledge_bases,3
Variance_reduction,3
Biostatistics,3
Computer_hardware_tuning,3
Ontology_(information_science),3
Distributed_element_circuits,3
Theorems_in_discrete_mathematics,3
Social_statistics,3
Operating_system_kernels,3
Formal_specification_languages,3
Formal_methods_terminology,3
Information_retrieval_evaluation,3
Statistical_programming_languages,3
Library_of_Congress_Classification,3
Mathematics-related_topics_in_popular_culture,3
Recommender_systems,3
Order_theory,3
Software_engineering_stubs,3
Mereology,3
Theorems_in_algebra,3
Notation,3
Statistical_inequalities,3
Hardware_verification_languages,3
Probability_interpretations,3
Embedded_systems,3
Argument_mapping,3
Software_requirements,3
History_of_human-computer_interaction,3
Catalogues,3
Statistical_principles,3
Monte_Carlo_methods,3
Algebra,3
Interoperability,3
Interrupts,3
Statistical_survey_software,3
Open_access_(publishing),3
Programming_language_theory,3
Conjectures_that_have_been_proved,3
Cellular_automata,3
Flexible_electronics,3
Audio_amplifier_specifications,3
Mathematical_relations,3
Semantic_Web,3
Database_theory,3
Historiography_of_mathematics,3
Computational_physics,3
Statistical_tests,3
Smart_bands,3
Computational_anatomy,3
Mathematics_by_culture,3
Vital_statistics,3
Computer_accessibility,3
History_of_calculus,3
Geometry_stubs,3
Statistical_inference,3
Lemmas,3
Computational_biology,3
Probability_distributions,3
Philosophy_of_artificial_intelligence,3
History_of_logic,3
Index_(publishing),3
Formal_methods,3
Mathematical_identities,3
Topology_stubs,3
